category	safe	repo	path	branch	size_bytes	size_human	action	reason
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-3ltq	fleet/lazydad-partners-3ltq	55779328	53.2M	none	worktree has uncommitted changes
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-753	fleet/lazydad-partners-753	49463296	47.2M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-a1ex	fleet/lazydad-partners-a1ex	55037952	52.5M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-dkqq	fleet/lazydad-partners-dkqq	366551040	349.6M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-jodw	fleet/lazydad-partners-jodw	366026752	349.1M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-ku6	fleet/lazydad-partners-ku6	49156096	46.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-mfa	fleet/lazydad-partners-mfa	49156096	46.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-qsl2	fleet/lazydad-partners-qsl2	366055424	349.1M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/.wheelhouse-worktrees/lazydad-partners-tq99	fleet/lazydad-partners-tq99	361963520	345.2M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-37y	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-3ji	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-5nh	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-ecj	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-mbe	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	[home]/Documents/_projects/lazydad-partners/lazydadgourmet	fleet/lazydad-partners-qegi	457060352	435.9M	none	no closed bead record found for this fleet branch
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/.bin		0	0.0B	none	.bin is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@cloudflare/kv-asset-handler/dist		163840	160.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@cloudflare/unenv-preset/dist		57344	56.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@cloudflare/vitest-pool-workers/dist		7323648	7.0M	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@cloudflare/workerd-darwin-arm64/bin		114569216	109.3M	none	bin is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@emnapi/core/dist		901120	880.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@emnapi/runtime/dist		471040	460.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@emnapi/wasi-threads/dist		40960	40.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@esbuild/darwin-arm64/bin		10575872	10.1M	none	bin is below dependency directory node_modules; dependency package contents are never safe build-cache
needs-review	0	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware	[home]/Documents/_projects/lazydad-partners/lazydadgourmet/middleware/node_modules/@jridgewell/resolve-uri/dist		61440	60.0K	none	dist is below dependency directory node_modules; dependency package contents are never safe build-cache
